"","logFC","AveExpr","t","P.Value","adj.P.Val","B","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10"
"cg07922606",0.11544348,0.20147815,9.69187387654285,5.34010990282619e-09,5.34010990282619e-09,10.7320780189617,"6",26225389,"R","II","HIST1H3E","1stExon","island","1stExon-island","chr6:26225386-26225790",NA,NA,"","",""
"cg03562120",-0.10431217,0.237011105,-7.64694107891081,2.32404347759207e-07,2.32404347759207e-07,6.89435568900517,"20",43343997,"R","II","WISP2","1stExon","opensea","1stExon-opensea","",TRUE,TRUE,"","",""
"cg26244225",0.12597628,0.3015506,7.04202239505602,7.88316653902613e-07,7.88316653902613e-07,5.65194602147246,"12",12938082,"R","II","APOLD1","Body","shore","Body-shore","chr12:12939713-12940391",NA,NA,"","",""
"cg08137716",0.13243537,0.671448655,6.98994342416285,8.77746807846028e-07,8.77746807846028e-07,5.54269426343146,"17",46871905,"F","II","TTLL6","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg10107725",0.0854537,0.39145791,6.96532453345518,9.23603403465092e-07,9.23603403465092e-07,5.49092373305425,"2",160761556,"R","II","LY75","TSS1500","shore","TSS1500-shore","chr2:160760604-160761452",TRUE,NA,"","",""
"cg15815843",-0.12115709,0.463545995,-6.62971794115891,1.86413599411036e-06,1.86413599411036e-06,4.77728975156138,"12",8815308,"F","II","MFAP5","1stExon","opensea","1stExon-opensea","",TRUE,NA,"low-CpG:8706522-8706753","",""
"cg04663487",-0.07397837,0.297304575,-6.52754369447648,2.31534458876723e-06,2.31534458876723e-06,4.55715379240971,"7",115670804,"R","II","TFEC","TSS200","opensea","TSS200-opensea","",NA,NA,"low-CpG:115458010-115458112","",""
"cg19824441",0.1026699,0.5216117,6.21561313619895,4.52527189542619e-06,4.52527189542619e-06,3.87709250028856,"12",57388312,"F","II","GPR182","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg04057485",-0.0895767000000001,0.81643257,-6.0564593188235,6.40021327509869e-06,6.40021327509869e-06,3.52563592251846,"19",47127365,"F","II","PTGIR","Body","island","Body-island","chr19:47126782-47127478",NA,NA,"","rs76887099",""
"cg26536164",0.0553067599999999,0.8617199,6.04375603094406,6.5806613289459e-06,6.5806613289459e-06,3.49745809074015,"3",46539018,"R","II","RTP3","TSS1500","opensea","TSS1500-opensea","",NA,TRUE,"","",""
"cg08247612",0.1040431,0.52029944,5.94746326601183,8.12975566756872e-06,8.12975566756872e-06,3.28327838234033,"1",160336486,"F","II","NHLH1","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg12499211",-0.09621979,0.649730415,-5.92759779257292,8.49333224046441e-06,8.49333224046441e-06,3.23896500888922,"1",156786643,"F","II","NTRK1","Body","shelf","Body-shelf","chr1:156783523-156784037",NA,NA,"","",""
"cg05473677",0.11924624,0.27499288,5.91317431462293,8.76771610970463e-06,8.76771610970463e-06,3.20676400965831,"3",195943713,"F","II","OSTalpha","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg21335556",0.10813679,0.418140135,5.86544600650754,9.74217167595745e-06,9.74217167595745e-06,3.10004857168132,"17",8703341,"R","II","MFSD6L","TSS1500","shore","TSS1500-shore","chr17:8702342-8702824",NA,NA,"","",""
"cg17186803",0.051410297,0.1394444915,5.84003349349955,1.03055887552882e-05,1.03055887552882e-05,3.04312963917213,"11",118023038,"F","II","SCN4B","Body","shore","Body-shore","chr11:118023352-118024194",TRUE,NA,"","",""
"cg06003187",-0.07092336,0.65261407,-5.78487039780953,1.16462898625317e-05,1.16462898625317e-05,2.91934180349359,"1",42629798,"R","II","GUCA2A","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg05140736",0.0878223299999999,0.726927615,5.7682588509192,1.20840434784573e-05,1.20840434784573e-05,2.88200307561383,"17",78195518,"R","II","SLC26A11","Body","shore","Body-shore","chr17:78193980-78194954",NA,NA,"","",""
